Stadt;kg;Slots;EW;Kg/EW;Slots/EW;Kg/Slot
Darmstadt;1,37E+06;72042;159.631;8,58229291303068;451,303318277778;19,016684711696
Heidelberg;1,30E+06;65282;159.245;8,16352161763321;409,946937109485;19,9136055880641
Freiburg;1,30E+06;76930;231.848;5,60712190745661;331,81222180049;16,8984791368777
Karlsruhe;1,14E+06;57748;306.502;3,71938845423521;188,409863557171;19,7409434092956
Köln;3,46E+06;158448;1.073.096;3,22431543869328;147,655009430657;21,8368171261234
Frankfurt;1,51E+06;80297;759.224;1,98887284911963;105,761935871363;18,8051857479109
Hamburg;2,66E+06;183141;1.853.935;1,43478600921823;98,7850167346752;14,5243282498184
München;2,08E+06;142695;1.487.708;1,39812382537433;95,9159996450916;14,5765443778689
Wien;1,57E+06;106036;1.931.593;0,812800626218877;54,8956224214936;14,8062922026482
Berlin;2,06E+06;121503;3.677.472;0,560167419357646;33,0398164826272;16,9543138852539
