Monat,Betriebe,Termine,Slots,FS
2024-08,113,2350,3683,734
2024-07,114,2464,3942,778
2024-06,115,2355,3848,781
2024-05,112,2198,3617,771
2024-04,110,2216,3664,774
2024-03,113,2305,3810,789
2024-02,111,2211,3669,776
2024-01,108,2206,3699,775
2023-12,107,2134,3565,731
2023-11,107,2168,3684,757
2023-10,104,2127,3546,720
2023-09,105,2198,3599,716
2023-08,100,2215,3572,689
2023-07,105,2192,3664,713
2023-06,105,2123,3575,696
2023-05,103,2113,3526,659
2023-04,100,1984,3343,637
2023-03,100,2161,3685,635
2023-02,94,1767,2968,578
2023-01,90,1825,3048,561
2022-12,93,1860,3091,550
2022-11,90,1830,2944,558
2022-10,92,1849,2980,538
2022-09,91,1767,2917,519
2022-08,86,1782,2925,500
2022-07,88,1723,2723,512
2022-06,85,1608,2530,496
2022-05,85,1594,2543,491
2022-04,81,1512,2395,478
2022-03,78,1612,2604,465
2022-02,76,1435,2316,445
2022-01,77,1503,2425,453
2021-12,77,1518,2479,460
2021-11,74,1434,2343,451
2021-10,72,1491,2407,427
2021-09,70,1402,2239,408
2021-08,69,1354,2150,379
2021-07,73,1500,2391,416
2021-06,71,1441,2227,413
2021-05,72,1359,2065,401
2021-04,69,1322,2045,377
2021-03,67,1380,2175,400
2021-02,67,1215,1922,383
2021-01,65,1234,1973,369
2020-12,64,1221,1956,388
2020-11,61,1176,1955,404
2020-10,60,1247,2174,399
2020-09,58,1185,2028,378
2020-08,61,1191,2024,359
2020-07,62,1271,2184,379
2020-06,59,1133,1802,360
2020-05,58,1072,1677,335
2020-04,59,978,1544,285
2020-03,62,1020,1837,346
2020-02,56,933,1902,391
2020-01,55,915,1890,365
2019-12,54,892,1844,346
2019-11,51,865,1892,343
2019-10,48,863,1857,344
2019-09,46,749,1583,313
2019-08,43,742,1495,254
2019-07,45,774,1619,281
2019-06,45,729,1456,273
2019-05,44,750,1494,275
2019-04,41,696,1394,271
2019-03,38,726,1499,254
2019-02,38,670,1392,273
2019-01,38,720,1486,270
2018-12,42,715,1394,256
2018-11,42,708,1448,273
2018-10,40,714,1487,264
2018-09,39,717,1377,214
2018-08,38,729,1339,217
2018-07,41,795,1571,253
2018-06,38,748,1576,261
2018-05,38,681,1410,246
2018-04,32,551,1212,237
2018-03,29,540,1213,209
2018-02,29,456,1100,216
2018-01,27,481,1169,227
2017-12,27,470,1080,205
2017-11,28,475,1134,235
2017-10,28,471,1046,199
2017-09,27,474,1036,190
2017-08,26,492,1006,179
2017-07,26,463,1015,218
2017-06,28,466,967,204
2017-05,28,507,1060,198
2017-04,27,475,941,189
2017-03,27,523,1035,172
2017-02,27,469,958,159
2017-01,25,454,928,167
2016-12,27,510,923,149
2016-11,28,484,920,156
2016-10,25,456,924,163
2016-09,27,442,916,128
2016-08,26,468,932,143
2016-07,27,485,993,176
2016-06,27,431,898,175
2016-05,26,390,736,159
2016-04,24,418,786,154
2016-03,23,397,701,140
2016-02,23,388,712,145
2016-01,22,375,636,121
2015-12,23,418,692,123
2015-11,22,393,715,117
2015-10,21,380,647,114
2015-09,20,277,441,89
2015-08,16,233,436,96
2015-07,15,254,467,120
2015-06,15,242,463,113
2015-05,15,218,439,109
2015-04,15,232,429,109
2015-03,15,237,419,96
2015-02,15,215,396,97
2015-01,15,225,436,100
2014-12,14,228,417,93
2014-11,13,215,410,99
2014-10,13,206,374,89
2014-09,9,112,234,65
2014-08,10,136,262,64
2014-07,12,154,280,79
2014-06,9,126,234,64
2014-05,10,93,181,45
2014-04,4,51,117,31
2014-03,4,60,138,32
2014-02,3,45,108,26
2014-01,3,18,29,11
2013-12,1,4,10,5
2013-11,1,1,2,2
